                                 0         1  prob_ratio
it own                    0.000842  0.000923    0.912799
will not                  0.001683  0.001844    0.912600
at a                      0.001758  0.001926    0.912419
that wa                   0.000450  0.000495    0.909101
barrier reef              0.000450  0.000495    0.909101
the guardian              0.000450  0.000495    0.909101
it would                  0.000525  0.000577    0.908993
10 year                   0.000525  0.000577    0.908993
no one                    0.000525  0.000577    0.908993
say that                  0.000600  0.000660    0.908913
ha a                      0.000749  0.000824    0.908800
in the uk                 0.000973  0.001071    0.908695
dead in                   0.001123  0.001235    0.908649
the same                  0.001123  0.001235    0.908649
of his                    0.001328  0.001466    0.906053
a day                     0.000805  0.000890    0.904569
guilty of                 0.000805  0.000890    0.904569
the american              0.000581  0.000643    0.903119
calling for               0.000581  0.000643    0.903119
air force                 0.000506  0.000561    0.902353
bank of                   0.000506  0.000561    0.902353
we can                    0.000431  0.000479    0.901323
people to                 0.000431  0.000479    0.901323
law in                    0.000431  0.000479    0.901323
discovered in             0.000431  0.000479    0.901323
fire in                   0.000431  0.000479    0.901323
have been                 0.005082  0.005644    0.900470
woman in                  0.000786  0.000873    0.900221
this week                 0.000786  0.000873    0.900221
we are                    0.001141  0.001268    0.899805
in afghanistan            0.002206  0.002453    0.899360
the death of              0.000562  0.000627    0.897022
of the country            0.000842  0.000939    0.896813
say u                     0.000487  0.000544    0.895311
global warming            0.000487  0.000544    0.895311
a month                   0.000487  0.000544    0.895311
it a                      0.000973  0.001087    0.894948
the most                  0.001944  0.002173    0.894766
been killed               0.000693  0.000775    0.894364
killed and                0.000413  0.000462    0.892992
to live                   0.000413  0.000462    0.892992
to work                   0.000618  0.000693    0.892704
west bank                 0.001571  0.001762    0.891596
the worst                 0.000544  0.000610    0.890596
in the world              0.001832  0.002058    0.890375
supreme court             0.000880  0.000989    0.889832
is not                    0.001758  0.001976    0.889627
state in                  0.000469  0.000528    0.887831
claim that                0.000469  0.000528    0.887831
say a                     0.000600  0.000676    0.886798
it to                     0.000600  0.000676    0.886798
and it                    0.000992  0.001120    0.885338
jailed for                0.000992  0.001120    0.885338
world to                  0.000394  0.000446    0.884046
1 billion                 0.000394  0.000446    0.884046
court ha                  0.000525  0.000594    0.883813
in u                      0.000656  0.000742    0.883674
ten of thousand           0.000656  0.000742    0.883674
we will                   0.000656  0.000742    0.883674
ten of                    0.000786  0.000890    0.883581
a woman                   0.000712  0.000808    0.881059
worse than                0.000450  0.000512    0.879869
for their                 0.000637  0.000725    0.877965
a an                      0.000637  0.000725    0.877965
woman and                 0.000693  0.000791    0.875771
drone strike              0.000693  0.000791    0.875771
the palestinian           0.000880  0.001005    0.875268
down on                   0.000562  0.000643    0.874080
le than                   0.000749  0.000857    0.873913
the first                 0.003719  0.004262    0.872500
video of                  0.000805  0.000923    0.872320
the philippine            0.000431  0.000495    0.871379
to his                    0.000431  0.000495    0.871379
go on                     0.000431  0.000495    0.871379
to launch                 0.000431  0.000495    0.871379
said it                   0.000487  0.000561    0.869056
gay marriage              0.000487  0.000561    0.869056
before the                0.000487  0.000561    0.869056
cut off                   0.000544  0.000627    0.867220
the global                0.000600  0.000693    0.865734
to block                  0.000768  0.000890    0.862593
the bbc                   0.000413  0.000479    0.862305
planning to               0.000413  0.000479    0.862305
to stay                   0.000413  0.000479    0.862305
their home                0.000413  0.000479    0.862305
the other                 0.000469  0.000544    0.861008
to use                    0.000936  0.001087    0.860593
into a                    0.000992  0.001153    0.860078
and then                  0.000525  0.000610    0.859991
on wednesday              0.001104  0.001285    0.859207
of palestinian            0.000581  0.000676    0.859172
to a                      0.003420  0.003983    0.858727
some of the               0.000394  0.000462    0.852585
an attempt                0.000394  0.000462    0.852585
to china                  0.000394  0.000462    0.852585
on earth                  0.000394  0.000462    0.852585
